dataset,bpm,lambda,change_rate,n_beats
ballroom,98.36065573770472,61.16529239167693,0.2127659574468085,49
ballroom,99.75062344139648,85.53421343619661,0.06666666666666667,47
ballroom,133.3333333333333,46.77321346082741,0.18032786885245902,63
ballroom,86.95652173913072,43.73914066737794,0.375,42
ballroom,86.9565217391305,53.48735623892648,0.25,42
ballroom,86.95652173913044,40.90188132835702,0.3902439024390244,43
ballroom,86.95652173913027,61.16529239167693,0.2619047619047619,44
ballroom,86.95652173913027,43.73914066737794,0.42857142857142855,44
ballroom,127.93176972281442,57.19763791986277,0.12903225806451613,64
ballroom,128.2051282051282,69.94537132565551,0.06451612903225806,64
ballroom,128.34224598930498,43.73914066737794,0.22950819672131148,63
ballroom,127.93176972281448,61.16529239167693,0.0967741935483871,64
ballroom,128.2051282051282,61.16529239167693,0.0967741935483871,64
ballroom,174.41860465116218,46.77321346082741,0.08235294117647059,87
ballroom,171.42857142857247,38.2486685991696,0.14285714285714285,86
ballroom,174.92711370262393,46.77321346082741,0.08235294117647059,87
ballroom,171.42857142857247,38.2486685991696,0.15294117647058825,87
ballroom,199.99999999999952,50.01775215679556,0.041237113402061855,99
ballroom,200.0000000000007,31.277745131502087,0.1414141414141414,101
ballroom,200.0000000000019,27.351522910837083,0.18181818181818182,101
ballroom,83.33333333333347,74.79730359795947,0.175,42
ballroom,86.95652173913038,61.16529239167693,0.21428571428571427,44
ballroom,87.27272727272727,69.94537132565551,0.17073170731707318,43
ballroom,84.50704225352102,46.77321346082741,0.45,42
ballroom,127.65957446808511,53.48735623892648,0.14516129032258066,64
ballroom,127.65957446808541,57.19763791986277,0.11290322580645161,64
ballroom,127.65957446808511,53.48735623892648,0.14754098360655737,63
ballroom,176.9911504424778,35.76756379161564,0.16091954022988506,89
ballroom,179.10447761194033,33.447402653253896,0.19318181818181818,90
ballroom,179.10447761194175,35.76756379161564,0.1590909090909091,90
ballroom,208.33333333333314,25.57729135001686,0.18627450980392157,104
ballroom,203.38983050847585,29.24882839642645,0.17,102
ballroom,199.99999999999952,50.01775215679556,0.04081632653061224,100
ballroom,101.69491525423732,65.40817294939626,0.16326530612244897,51
ballroom,100.00000000000006,61.16529239167693,0.175,42
ballroom,101.69491525423732,65.40817294939626,0.16279069767441862,45
ballroom,99.99999999999999,97.81237178646667,0.041666666666666664,50
ballroom,124.99999999999989,50.01775215679556,0.18032786885245902,63
ballroom,122.44897959183713,349.78893517857057,0.0,53
ballroom,124.99999999999989,65.40817294939626,0.08333333333333333,62
ballroom,124.99999999999989,65.40817294939626,0.08333333333333333,62
ballroom,83.33333333333347,57.19763791986277,0.225,42
ballroom,95.23809523809538,40.90188132835702,0.32608695652173914,48
ballroom,95.23809523809538,400.0000000000001,0.0,48
ballroom,95.23809523809538,119.61197898474161,0.021739130434782608,48
ballroom,171.42857142857247,61.16529239167693,0.036585365853658534,84
ballroom,171.42857142857162,53.48735623892648,0.0547945205479452,75
ballroom,171.42857142857162,57.19763791986277,0.043478260869565216,71
ballroom,84.03361344537831,69.94537132565551,0.175,42
ballroom,83.10249307479229,85.53421343619661,0.125,42
ballroom,127.6595744680851,53.48735623892648,0.14516129032258066,64
ballroom,130.43478260869566,53.48735623892648,0.12698412698412698,65
ballroom,127.65957446808517,50.01775215679556,0.16129032258064516,64
ballroom,179.6407185628735,40.90188132835702,0.125,90
ballroom,178.5714285714284,40.90188132835702,0.125,82
ballroom,199.33554817275797,31.277745131502087,0.1326530612244898,100
ballroom,203.38983050847463,27.351522910837083,0.18181818181818182,101
ballroom,198.675496688742,35.76756379161564,0.10204081632653061,100
ballroom,87.01957940536612,38.2486685991696,0.4146341463414634,43
ballroom,85.22727272727265,85.53421343619661,0.12195121951219512,43
ballroom,82.19178082191782,79.9858020551139,0.15,42
ballroom,133.33333333333354,53.48735623892648,0.125,66
ballroom,130.4347826086959,53.48735623892648,0.14285714285714285,65
ballroom,129.03225806451616,69.94537132565551,0.06349206349206349,65
